biosample_id_namespace	biosample_id	subject_id_namespace	subject_id
cfde_id_namespace_id:BCDC	AIBS_470901203	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_471354789	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475321641	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475321972	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475322378	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475322569	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475322682	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475322721	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475322858	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475322913	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475322951	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475323012	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475323139	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_475892570	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_476045503	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_476045516	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_476046078	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_480169088	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_480643079	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_484714116	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_484714195	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_484719694	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_484719915	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_484719924	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_490091439	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_490646990	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_491605040	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_491762167	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538279786	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538292049	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538292189	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538301843	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538318714	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538318744	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538340326	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538876960	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538879942	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_538880588	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_539520718	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_541708954	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_543135620	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_545324266	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_545324291	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_545324356	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_545442695	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_547584365	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_551742288	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_555040459	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_560680998	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_560806749	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_568800713	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_569790752	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	AIBS_571132251	cfde_id_namespace_id:BCDC	
cfde_id_namespace_id:BCDC	SW170928-03A	cfde_id_namespace_id:BCDC	SW170928-03A
cfde_id_namespace_id:BCDC	SW171031-04A	cfde_id_namespace_id:BCDC	SW171031-04A
cfde_id_namespace_id:BCDC	SW171201-02A	cfde_id_namespace_id:BCDC	SW171201-02A
cfde_id_namespace_id:BCDC	SW180122-01A	cfde_id_namespace_id:BCDC	SW180122-01A
cfde_id_namespace_id:BCDC	SW180301-01A	cfde_id_namespace_id:BCDC	SW180301-01A
cfde_id_namespace_id:BCDC	SW180413-01A	cfde_id_namespace_id:BCDC	SW180413-01A
cfde_id_namespace_id:BCDC	SW180413-02A	cfde_id_namespace_id:BCDC	SW180413-02A
cfde_id_namespace_id:BCDC	SW180628-03A	cfde_id_namespace_id:BCDC	SW180628-03A
cfde_id_namespace_id:BCDC	SW180709-02A	cfde_id_namespace_id:BCDC	SW180709-02A
cfde_id_namespace_id:BCDC	SW181029-01A	cfde_id_namespace_id:BCDC	SW181029-01A
cfde_id_namespace_id:BCDC	SW181101-03A	cfde_id_namespace_id:BCDC	SW181101-03A
cfde_id_namespace_id:BCDC	SW181115-01A	cfde_id_namespace_id:BCDC	SW181115-01A
cfde_id_namespace_id:BCDC	SW181205-01A	cfde_id_namespace_id:BCDC	SW181205-01A
cfde_id_namespace_id:BCDC	SW181212-03A	cfde_id_namespace_id:BCDC	SW181212-03A
cfde_id_namespace_id:BCDC	SW190110-02A	cfde_id_namespace_id:BCDC	SW190110-02A
cfde_id_namespace_id:BCDC	SW190110-04A	cfde_id_namespace_id:BCDC	SW190110-04A
cfde_id_namespace_id:BCDC	SW190312-05A	cfde_id_namespace_id:BCDC	SW190312-05A
cfde_id_namespace_id:BCDC	SW190409-02A	cfde_id_namespace_id:BCDC	SW190409-02A
cfde_id_namespace_id:BCDC	SW190422-01A	cfde_id_namespace_id:BCDC	SW190422-01A
cfde_id_namespace_id:BCDC	SW190422-02A	cfde_id_namespace_id:BCDC	SW190422-02A
cfde_id_namespace_id:BCDC	SW190422-03A	cfde_id_namespace_id:BCDC	SW190422-03A
cfde_id_namespace_id:BCDC	SW190503-01A	cfde_id_namespace_id:BCDC	SW190503-01A
cfde_id_namespace_id:BCDC	SW190503-04A	cfde_id_namespace_id:BCDC	SW190503-04A
cfde_id_namespace_id:BCDC	SW190507-09A	cfde_id_namespace_id:BCDC	SW190507-09A
cfde_id_namespace_id:BCDC	SW190509-07A	cfde_id_namespace_id:BCDC	SW190509-07A
cfde_id_namespace_id:BCDC	SW190509-08A	cfde_id_namespace_id:BCDC	SW190509-08A
cfde_id_namespace_id:BCDC	SW190509-09A	cfde_id_namespace_id:BCDC	SW190509-09A
cfde_id_namespace_id:BCDC	SW190509-10A	cfde_id_namespace_id:BCDC	SW190509-10A
cfde_id_namespace_id:BCDC	SW190614-01A	cfde_id_namespace_id:BCDC	SW190614-01A
cfde_id_namespace_id:BCDC	SW190620-01A	cfde_id_namespace_id:BCDC	SW190620-01A
cfde_id_namespace_id:BCDC	SW190625-01A	cfde_id_namespace_id:BCDC	SW190625-01A
cfde_id_namespace_id:BCDC	SW190626-02A	cfde_id_namespace_id:BCDC	SW190626-02A
cfde_id_namespace_id:BCDC	SW190830-02A	cfde_id_namespace_id:BCDC	SW190830-02A
cfde_id_namespace_id:BCDC	SW190916-02A	cfde_id_namespace_id:BCDC	SW190916-02A
cfde_id_namespace_id:BCDC	SW190916-03A	cfde_id_namespace_id:BCDC	SW190916-03A
cfde_id_namespace_id:BCDC	SW191003-04A	cfde_id_namespace_id:BCDC	SW191003-04A
cfde_id_namespace_id:BCDC	SW191004-07A	cfde_id_namespace_id:BCDC	SW191004-07A
cfde_id_namespace_id:BCDC	SW191004-08A	cfde_id_namespace_id:BCDC	SW191004-08A
cfde_id_namespace_id:BCDC	SW191004-09A	cfde_id_namespace_id:BCDC	SW191004-09A
cfde_id_namespace_id:BCDC	SW191016-02A	cfde_id_namespace_id:BCDC	SW191016-02A
cfde_id_namespace_id:BCDC	SW191024-09A	cfde_id_namespace_id:BCDC	SW191024-09A
cfde_id_namespace_id:BCDC	SW170711-02A	cfde_id_namespace_id:BCDC	SW170711-02A
cfde_id_namespace_id:BCDC	SW170711-03B	cfde_id_namespace_id:BCDC	SW170711-03B
cfde_id_namespace_id:BCDC	SW170711-04A	cfde_id_namespace_id:BCDC	SW170711-04A
cfde_id_namespace_id:BCDC	SW170711-05A	cfde_id_namespace_id:BCDC	SW170711-05A
cfde_id_namespace_id:BCDC	SW170811-01A	cfde_id_namespace_id:BCDC	SW170811-01A
cfde_id_namespace_id:BCDC	SW170811-02A	cfde_id_namespace_id:BCDC	SW170811-02A
cfde_id_namespace_id:BCDC	SW170911-01A	cfde_id_namespace_id:BCDC	SW170911-01A
cfde_id_namespace_id:BCDC	SW170911-02A	cfde_id_namespace_id:BCDC	SW170911-02A
cfde_id_namespace_id:BCDC	SW170928-04A	cfde_id_namespace_id:BCDC	SW170928-04A
cfde_id_namespace_id:BCDC	SW171016-01A	cfde_id_namespace_id:BCDC	SW171016-01A
cfde_id_namespace_id:BCDC	SW171016-02A	cfde_id_namespace_id:BCDC	SW171016-02A
cfde_id_namespace_id:BCDC	SW171116-01A	cfde_id_namespace_id:BCDC	SW171116-01A
cfde_id_namespace_id:BCDC	SW171116-02A	cfde_id_namespace_id:BCDC	SW171116-02A
cfde_id_namespace_id:BCDC	SW171116-03A	cfde_id_namespace_id:BCDC	SW171116-03A
cfde_id_namespace_id:BCDC	SW171116-04A	cfde_id_namespace_id:BCDC	SW171116-04A
cfde_id_namespace_id:BCDC	SW171117-01A	cfde_id_namespace_id:BCDC	SW171117-01A
cfde_id_namespace_id:BCDC	SW171117-02A	cfde_id_namespace_id:BCDC	SW171117-02A
cfde_id_namespace_id:BCDC	SW171117-03A	cfde_id_namespace_id:BCDC	SW171117-03A
cfde_id_namespace_id:BCDC	SW171117-04A	cfde_id_namespace_id:BCDC	SW171117-04A
cfde_id_namespace_id:BCDC	SW171205-01A	cfde_id_namespace_id:BCDC	SW171205-01A
cfde_id_namespace_id:BCDC	SW171205-02A	cfde_id_namespace_id:BCDC	SW171205-02A
cfde_id_namespace_id:BCDC	SW171221-01A	cfde_id_namespace_id:BCDC	SW171221-01A
cfde_id_namespace_id:BCDC	SW171221-02A	cfde_id_namespace_id:BCDC	SW171221-02A
cfde_id_namespace_id:BCDC	SW171221-03A	cfde_id_namespace_id:BCDC	SW171221-03A
cfde_id_namespace_id:BCDC	SW171221-04A	cfde_id_namespace_id:BCDC	SW171221-04A
cfde_id_namespace_id:BCDC	SW180131-01A	cfde_id_namespace_id:BCDC	SW180131-01A
cfde_id_namespace_id:BCDC	SW180131-02A	cfde_id_namespace_id:BCDC	SW180131-02A
cfde_id_namespace_id:BCDC	SW180201-01A	cfde_id_namespace_id:BCDC	SW180201-01A
cfde_id_namespace_id:BCDC	SW180201-02A	cfde_id_namespace_id:BCDC	SW180201-02A
cfde_id_namespace_id:BCDC	SW180329-01A	cfde_id_namespace_id:BCDC	SW180329-01A
cfde_id_namespace_id:BCDC	SW180517-04A	cfde_id_namespace_id:BCDC	SW180517-04A
