id_namespace	id	persistent_id	creation_time	abbreviation	name	description
cfde_id_namespace_id:BCDC	TransgenicSTPT			Transgenic STPT	Transgenic Characterization - serial two-photon tomography	Transgene expression was used to label cell types and brain regions in mouse brain, and these transgenes were characterized using serial two-photon tomography to create 3D volumes. These data were used in conjunction with other multimodal reference data to parcellate the entire mouse brain into anatomic regions in order to create the Allen Mouse Brain Common Coordinate Framework (CCFv3), an annotated 3D reference space with 10µm voxel resolution.
cfde_id_namespace_id:BCDC	TransChar			Transgenic Char	Transgenic Characterization	Transgenic approaches are used to label neurons in a cell type specific manner in mice. These transgenic mice can be then be used to enable profiling of specific cell-types by various assays. The labeling of specific cell types by these transgenic approaches was characterized as a reference set.
cfde_id_namespace_id:BCDC	U19 Zeng			U19 Zeng	A Comprehensive Whole-brain Atlas of Cell Types in the Mouse	A Comprehensive Whole-brain Atlas of Cell Types in the Mouse
cfde_id_namespace_id:BCDC	dong_antero_proj			Anterograde tracing	Cre-dependent anterograde pathway tracing	Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide targets of projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent anterograde tracing was used. Cre was delivered to a projection-defined population of neurons, whose outputs were then traced via a Cre-dependent anterograde tracer injection. Utilizing this strategy, the unique brain-wide connections of different projection-defined neurons can be attained (e.g., targets of caudoputamen-projecting amygdala neurons versus targets of hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details
cfde_id_namespace_id:BCDC	U01 Dong			U01 Dong	Anatomical Characterization of Neuronal Cell Types of the Mouse Brain	Anatomical Characterization of Neuronal Cell Types of the Mouse Brain
cfde_id_namespace_id:BCDC	dong_retro_proj			Retrograde tracing	Retrograde pathway tracing	Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Retrograde pathway tracers identify the input connections of injected regions by labeling cell bodies. Male C57BL wild type mice 8 weeks of age were used. In one experiment, 3-5 retrograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, basal ganglia, hippocampus, amygdala, midbrain, or hindbrain. As such in one experiment, four different populations of neurons were identified simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details.
cfde_id_namespace_id:BCDC	dong_trio_proj			TRIO	Tracing the relationship between input and output (TRIO)	Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide inputs to projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent rabies viral tracing was used. Cre was delivered to a projection-defined population of neurons, which received TVA and rabies glycoprotein delivered via a Cre-dependent helper virus. Next, an EnvA pseudotyped G-deleted rabies virus was delivered to the same population of neurons to label their monosynaptic inputs from cells across the brain (e.g., brain-wide inputs to caudoputamen-projecting amygdala neurons). Utilizing this strategy, the unique brain-wide monosynaptic inputs to different projection-defined cell types can be attained (e.g., inputs to caudoputamen-projecting amygdala neurons versus inputs to hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details.
cfde_id_namespace_id:BCDC	ecker_sn_ATACseq_proj			Chromatin accessibility	Chromatin accessibility profiling of genomic DNA in individual mouse brain cell nuclei (RS1.2)	The goal is to profile open chromatin at single cell resolution using snATAC-seq across >100 mouse brain regions. The resulting profiles will be used to both define cell types and generate comprehensive catalogs of regulatory elements for each cell type. The brains of adult male C57BL/6J mice (P56) were sliced into 18 600-micron-thick coronal sections and tissues isolated from selected regions in each slice were pooled separately (6-30 animals per region, hemispheres combined). Pooled nuclei were subjected to tagged Tn5 transposon insertion to identify accessible chromatin (snATAC-seq). (Note: The same tissue pools were used in both RS1.1 and RS1.2.) Over 100 selected brain regions were sampled across both brain hemispheres in male mice.
cfde_id_namespace_id:BCDC	U19 Ecker			U19 Ecker	Center for Epigenomics of the Mouse Brain Atlas (CEMBA)	Center for Epigenomics of the Mouse Brain Atlas (CEMBA)
cfde_id_namespace_id:BCDC	ecker_sn_mCseq_proj			Methylation nuclei	DNA methylation profiling of genomic DNA in individual mouse brain cell nuclei (RS1.1)	The goal is to generate single nucleus methyl-C genomic DNA sequencing data from isolated cells from >100 regions of the mouse brain for both cell-type classification and the identification of regulatory elements. The brains of adult male C57BL/6J mice (P56) were sliced into 18 600-micron-thick coronal sections and tissues isolated from selected regions in each slice were pooled separately (6-30 animals per region, hemispheres combined). NeuN-positive and NeuN-negative cell nuclei were purified from each pool, and isolated nuclei subjected to single nuclei methyl-C DNA sequencing (snmC-seq2). (Note: The same tissue pools were used in both RS1.1 and RS1.2.) Over 100 selected brain regions were sampled across both brain hemispheres in male mice.
